id_detalle,transaccion,cuota,valor,estado,fecha_pago,fecha_pagado,fotografia,enviar_pdf
30fc06c6,9d171f5f,36,351,PAGADO,2025-09-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c1ee6ade,9d171f5f,37,351,PAGADO,2025-10-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
8f090c0f,9d171f5f,38,351,PAGADO,2025-11-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
4cf55b9d,9d171f5f,39,351,PAGADO,2025-12-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c7b7fa85,9d171f5f,40,351,PAGADO,2026-01-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
32ae3b2d,9d171f5f,41,351,PAGADO,2026-02-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
63ac3876,9d171f5f,42,351,PAGADO,2026-03-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ef2e60d6,9d171f5f,43,351,PAGADO,2026-04-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
bf9804c1,9d171f5f,44,351,PAGADO,2026-05-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1907f222,9d171f5f,45,351,PAGADO,2026-06-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
0a636ba2,9d171f5f,46,351,PAGADO,2026-07-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
21207913,9d171f5f,47,351,PAGADO,2026-08-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
b37120ae,9d171f5f,48,351,PAGADO,2026-09-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
f2cbe62b,e2e68033,1,14768.32,PAGADO,2024-07-03,2024-07-03,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
57450b08,d63cc008,1,11657.08,PAGADO,2024-07-07,2024-07-03,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1207b03d,b37404f7,1,1423,PAGADO,2024-01-15,2024-01-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c816c8ce,b37404f7,2,1394,PAGADO,2024-02-15,2024-02-17,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
5220d3ee,b37404f7,3,1394,PAGADO,2024-03-15,2024-03-18,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
dd1e1619,b37404f7,4,1394,PAGADO,2024-04-15,2024-04-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
e99eca15,b37404f7,5,1394,PAGADO,2024-05-15,2024-05-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
81b8f9ff,b37404f7,6,1394,PAGADO,2024-06-15,2024-06-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
6013abc4,b37404f7,7,1394,PAGADO,2024-07-15,2024-07-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
3108a4d8,b37404f7,8,1394,PAGADO,2024-08-15,2024-08-16,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
e8e3808c,b37404f7,9,1394,PAGADO,2024-09-15,2024-09-16,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
732d0f19,b37404f7,10,1394,PAGADO,2024-10-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
5c16792d,b37404f7,11,1394,PAGADO,2024-11-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
43371eff,b37404f7,12,1394,PAGADO,2024-12-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1d0e8c0d,b37404f7,13,1402,PAGADO,2025-01-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c91949c7,0a03118b,1,66,PAGADO,2024-01-15,2024-01-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
96f33cde,0a03118b,2,286,PAGADO,2024-02-15,2024-02-17,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
e4d79ddd,0a03118b,3,286,PAGADO,2024-03-15,2024-03-18,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c2aba6d0,0a03118b,4,286,PAGADO,2024-04-15,2024-04-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
74c5d393,0a03118b,5,286,PAGADO,2024-05-15,2024-05-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
15117340,0a03118b,6,286,PAGADO,2024-06-15,2024-06-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
15bc15d2,0a03118b,7,286,PAGADO,2024-07-15,2024-07-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
effbb425,0a03118b,8,286,PAGADO,2024-08-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
d7de1d63,0a03118b,9,286,PAGADO,2024-09-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ba1622b9,0a03118b,10,286,PAGADO,2024-10-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
337faa34,0a03118b,11,286,PAGADO,2024-11-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
4ebf4579,0a03118b,12,286,PAGADO,2024-12-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
f6eb062a,0a03118b,13,286,PAGADO,2025-01-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
251bcaa6,0a03118b,14,286,PAGADO,2025-02-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
b0c34563,0a03118b,15,286,PAGADO,2025-03-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
60707776,0a03118b,16,286,PAGADO,2025-04-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
070f6af8,0a03118b,17,286,PAGADO,2025-05-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
7a128bc1,0a03118b,18,286,PAGADO,2025-06-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
49d1f3fa,0a03118b,19,286,PAGADO,2025-07-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
7e69a8bd,0a03118b,20,286,PAGADO,2025-08-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
4e33b2ee,0a03118b,21,286,PAGADO,2025-09-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
7b71219a,0a03118b,22,286,PAGADO,2025-10-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
76d58e59,0a03118b,23,286,PAGADO,2025-11-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c212ff4b,0a03118b,24,286,PAGADO,2025-12-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
33313c40,0a03118b,25,286,PAGADO,2026-01-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
88220651,0a03118b,26,286,PAGADO,2026-02-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
8badd80b,0a03118b,27,286,PAGADO,2026-03-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
85ad0348,0a03118b,28,286,PAGADO,2026-04-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
df421a5d,0a03118b,29,286,PAGADO,2026-05-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1a3e3af3,0a03118b,30,286,PAGADO,2026-06-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
4f8b1a72,0a03118b,31,286,PAGADO,2026-07-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c3169a37,0a03118b,32,286,PAGADO,2026-08-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
3e25e140,0a03118b,33,286,PAGADO,2026-09-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1f761037,0a03118b,34,286,PAGADO,2026-10-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
7c3980ea,0a03118b,35,286,PAGADO,2026-11-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
53a80846,0a03118b,36,286,PAGADO,2026-12-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
5324d56b,0a03118b,37,286,PAGADO,2027-01-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
f17d4962,0a03118b,38,286,PAGADO,2027-02-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
a1713953,0a03118b,39,286,PAGADO,2027-03-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
cfdc855e,0a03118b,40,286,PAGADO,2027-04-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
855c5190,0a03118b,41,286,PAGADO,2027-05-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
f00d84db,0a03118b,42,286,PAGADO,2027-06-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
dc81d25b,0a03118b,43,286,PAGADO,2027-07-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
2c307adf,0a03118b,44,286,PAGADO,2027-08-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
90bd6b39,0a03118b,45,286,PAGADO,2027-09-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
6993dda2,0a03118b,46,286,PAGADO,2027-10-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
67416f19,0a03118b,47,286,PAGADO,2027-11-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c3301d74,0a03118b,48,286,PAGADO,2027-12-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1dbcb9b2,0a03118b,49,286,PAGADO,2028-01-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
a81ca3bf,0a03118b,50,286,PAGADO,2028-02-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
0b6b47ee,0a03118b,51,286,PAGADO,2028-03-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
d437722f,0a03118b,52,286,PAGADO,2028-04-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
13a7e0d1,0a03118b,53,286,PAGADO,2028-05-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ba1e2156,0a03118b,54,286,PAGADO,2028-06-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1d95bf3c,0a03118b,55,286,PAGADO,2028-07-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
6f6b4273,0a03118b,56,286,PAGADO,2028-08-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
a866cb3c,0a03118b,57,286,PAGADO,2028-09-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
e10473c0,0a03118b,58,286,PAGADO,2028-10-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1dc480b5,0a03118b,59,286,PAGADO,2028-11-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
642ba3d3,0a03118b,60,286,PAGADO,2028-12-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
afa58ec3,0a03118b,61,286,PAGADO,2029-01-15,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
8a613f4b,595792ef,1,709,PAGADO,2025-01-17,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
05d7c91a,747c4bde,1,7176.77,PAGADO,2025-01-16,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
b595bfa1,7cd605cc,1,929,PAGADO,2024-03-15,2024-03-18,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
a920495c,7cd605cc,2,889,PAGADO,2024-04-15,2024-04-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
5e54dc3b,7cd605cc,3,889,PAGADO,2024-05-15,2024-05-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
8430069b,7cd605cc,4,889,PAGADO,2024-06-15,2024-06-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ea3dd599,7cd605cc,5,889,PAGADO,2024-07-15,2024-07-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
55138c2b,7cd605cc,6,889,PAGADO,2024-08-15,2024-08-16,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
92a93565,7cd605cc,7,889,PAGADO,2024-09-15,2024-09-16,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
909cf19a,7cd605cc,8,889,PAGADO,2024-10-15,2024-10-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
4c55c99f,7cd605cc,9,889,PAGADO,2024-11-15,2024-11-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
37614086,7cd605cc,10,889,PAGADO,2024-12-15,2024-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
594c3f27,7cd605cc,11,889,PAGADO,2025-01-15,2025-01-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1dca2fc8,7cd605cc,12,889,PAGADO,2025-02-15,2025-02-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
3fa7bc92,8598d0d0,1,15442,PAGADO,2025-03-03,2025-03-03,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
e911e720,0df19293,1,14192,PAGADO,2025-03-03,2025-03-03,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
dadasdsa,b6611f0d,1,407,PAGADO,2024-09-16,2024-09-16,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
55239d0e,b6611f0d,2,362,PAGADO,2024-10-16,2024-10-16,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ede57f6d,b6611f0d,3,362,PAGADO,2024-11-16,2024-11-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
be5850b1,b6611f0d,4,362,PAGADO,2024-12-16,2024-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
0f6c7a8c,b6611f0d,5,362,PAGADO,2025-01-16,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ad06f852,b6611f0d,6,362,PAGADO,2025-02-16,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
e1ef4389,b6611f0d,7,362,PAGADO,2025-03-16,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
5ab37633,b6611f0d,8,362,PAGADO,2025-04-16,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
97c7bb00,b6611f0d,9,362,PAGADO,2025-05-16,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
d1f26e5a,b6611f0d,10,362,PAGADO,2025-06-16,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
6de2fd28,b6611f0d,11,362,PAGADO,2025-07-16,,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
